A                   Amber
TEMPO†              Temporary or temporarily
TF                  Track to fix
TFC                 Traffic
TGL                 Touch-and-go landing
TGS                 Taxiing guidance system
THR                 Threshold
THRU                Through
THU                 Thursday
TIBA†               Traffic information broadcast by aircraft
TIL†                Until
TIP                 Until past... (place)
TKOF                Take-off
TL...            Till (followed by time by which weather change is forecast to end)
TLOF                Touchdown and lift-off area
TMA‡                Terminal control area
TN...            Minimum temperature (followed by figures in TAF)
TNA                 Turn altitude
TNH                 Turn height
TO...            To . . . (place)
TOC                 Top of climb
TODA                Take-off distance available
TODAH               Take-off distance available, helicopter
TOP†                Cloud top
TORA                Take-off run available
TOX                 Toxic
TP                  Turning point
TR                  Track
TRA                 Temporary reserved airspace
TRANS               Transmits or transmitter
TREND†              Trend forecast
TRL                 Transition level
TROP                Tropopause
TS                  Thunderstorm (in aerodrome reports and forecasts, TS used alone means thunder heard but no precipitation at the aerodrome)

TS...            Thunderstorm (followed by RA = rain, SN = snow, PL = ice pellets, GR = hail, GS = small hail and/or snow pellets or combinations thereof, e.g.  TSRASN = thunderstorm with rain and snow)
TSUNAMI†            Tsunami (used in aerodrome warnings)
TT                  Teletypewriter
TUE                 Tuesday
TURB                Turbulence
T-VASIS†            (to be pronounced “TEE-VASIS”) T visual approach slope indicator system
TVOR                Terminal VOR
TWR                 Aerodrome control tower or aerodrome control
TWY                 Taxiway
TWYL                Taxiway-link
TX...            Maximum temperature (followed by figures in TAF)
TXT*                Text (when the abbreviation is used to request a repetition, the question mark (IMI) precedes the abbreviation, e.g.  IMI TXT) (to be used in AFS as a procedure signal)
TYP                 Type of aircraft
TYPH                Typhoon

U                   Upward (tendency in RVR during previous 10 minutes)
UA                  Unmanned aircraft
UAB...           Until advised by . . .
UAC                 Upper area control centre
UAR                 Upper air route
UAS                 Unmanned aircraft system
UDF                 Ultra high frequency direction-finding station
UFN                 Until further notice
UHDT                Unable higher due traffic
UHF‡                Ultra high frequency [300 to 3 000 MHz]
UIC                 Upper information centre
UIR‡                Upper flight information region
ULR                 Ultra long range
UNA                 Unable

UNAP                Unable to approve
UNL                 Unlimited
UNREL               Unreliable
UP                  Unidentified precipitation (used in automated METAR/SPECI)
U/S                 Unserviceable
UTA                 Upper control area
UTC‡                Coordinated Universal Time

...V...             Variations from the mean wind direction (preceded and followed by figures in METAR/SPECI, e.g. 350V070)
VA                  Heading to an altitude
VA                  Volcanic ash
VAAC                Volcanic ash advisory centre
VAC...           Visual approach chart (followed by name/title)
VAL                 In valleys
VAN                 Runway control van
VAR                 Magnetic variation
VAR                 Visual-aural radio range
VASIS               Visual approach slope indicator systems
VC...            Vicinity of the aerodrome (followed by FG = fog, FC = funnel cloud, SH = shower, PO = dust/sand whirls, BLDU = blowing dust, BLSA = blowing sand, BLSN = blowing snow, DS = duststorm, SS = sandstorm, TS = thunderstorm or VA = volcanic ash, e.g. VCFG = vicinity fog)
VCY                 Vicinity
VDF                 Very high frequency direction-finding station
VER                 Vertical
VFR‡                Visual flight rules
VHF‡                Very high frequency [30 to 300 MHz]
VI                  Heading to an intercept
VIP‡                Very important person
VIS                 Visibility
VLF                 Very low frequency [3 to 30 kHz]
VLR                 Very long range
VM                  Heading to a manual termination
VMC‡                Visual meteorological conditions

VNAV†               (to be pronounced “VEE-NAV”) Vertical navigation
VOLMET†             Meteorological information for aircraft in flight
VOR‡                VHF omnidirectional radio range
VORTAC†             VOR and TACAN combination
VOT                 VOR airborne equipment test facility
VPA                 Vertical path angle
VPT                 Visual manoeuvre with prescribed track
VRB                 Variable
VSA                 By visual reference to the ground
VSP                 Vertical speed
VTF                 Vector to final
VTOL                Vertical take-off and landing
VV...            Vertical visibility (followed by figures in METAR/SPECI and TAF)

W                   West or western longitude
W                   White
W...                Sea-surface temperature (followed by figures in METAR/SPECI)
WAAS†               Wide area augmentation system
WAC. . .            World Aeronautical Chart — ICAO 1:1 000 000 (followed by name/title)
WAFC                World area forecast centre
WB                  Westbound
WBAR                Wing bar lights
WDI                 Wind direction indicator
WDSPR               Widespread
WED                 Wednesday
WEF                 With effect from or effective from
WGS-84              World Geodetic System — 1984
WI                  Within
WID                 Width or wide
WIE                 With immediate effect or effective immediately
WILCO†              Will comply
WIND                Wind
WIP                 Work in progress
WKN                 Weaken or weakening
WNW                 West-north-west
WO                  Without
WPT                 Way-point

WRNG                Warning
WS                  Wind shear
WSPD                Wind speed
WSW                 West-south-west
WT                  Weight
WTSPT               Waterspout
WWW                 Worldwide web
WX                  Weather

X                   Cross
XBAR                Crossbar (of approach lighting system)
XNG                 Crossing
XS                  Atmospherics

Y                   Yellow
YCZ                 Yellow caution zone (runway lighting)
YES*                Yes (affirmative) (to be used in AFS as a procedure signal)
YR                  Your

Z                   Coordinated Universal Time (in meteorological messages)

